2023-02-28 17:14:24.669967  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:24.669967  * Response 15 from device ID 1 , data = 499
2023-02-28 17:14:24.669967  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:24.705963 Read holding register for device ID 1 , Start address = 286 Quantity = 42
2023-02-28 17:14:24.814177  * Response 1 from device ID 1 , data = 4111
2023-02-28 17:14:24.814177  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 3 from device ID 1 , data = 2370
2023-02-28 17:14:24.814177  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 5 from device ID 1 , data = 1156
2023-02-28 17:14:24.814177  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 7 from device ID 1 , data = 2068
2023-02-28 17:14:24.814177  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 9 from device ID 1 , data = 2079
2023-02-28 17:14:24.814177  * Response 10 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 11 from device ID 1 , data = 65326
2023-02-28 17:14:24.814177  * Response 12 from device ID 1 , data = 65535
2023-02-28 17:14:24.814177  * Response 13 from device ID 1 , data = 995
2023-02-28 17:14:24.814177  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 15 from device ID 1 , data = 4122
2023-02-28 17:14:24.814177  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 17 from device ID 1 , data = 2378
2023-02-28 17:14:24.814177  * Response 18 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 19 from device ID 1 , data = 65118
2023-02-28 17:14:24.814177  * Response 20 from device ID 1 , data = 65535
2023-02-28 17:14:24.814177  * Response 21 from device ID 1 , data = 64734
2023-02-28 17:14:24.814177  * Response 22 from device ID 1 , data = 65535
2023-02-28 17:14:24.814177  * Response 23 from device ID 1 , data = 804
2023-02-28 17:14:24.814177  * Response 24 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 25 from device ID 1 , data = 65471
2023-02-28 17:14:24.814177  * Response 26 from device ID 1 , data = 65535
2023-02-28 17:14:24.814177  * Response 27 from device ID 1 , data = 64539
2023-02-28 17:14:24.814177  * Response 28 from device ID 1 , data = 65535
2023-02-28 17:14:24.814177  * Response 29 from device ID 1 , data = 4115
2023-02-28 17:14:24.814177  * Response 30 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 31 from device ID 1 , data = 2382
2023-02-28 17:14:24.814177  * Response 32 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 33 from device ID 1 , data = 64798
2023-02-28 17:14:24.814177  * Response 34 from device ID 1 , data = 65535
2023-02-28 17:14:24.814177  * Response 35 from device ID 1 , data = 64280
2023-02-28 17:14:24.814177  * Response 36 from device ID 1 , data = 65535
2023-02-28 17:14:24.814177  * Response 37 from device ID 1 , data = 1731
2023-02-28 17:14:24.814177  * Response 38 from device ID 1 , data = 0
2023-02-28 17:14:24.814177  * Response 39 from device ID 1 , data = 64345
2023-02-28 17:14:24.814177  * Response 40 from device ID 1 , data = 65535
2023-02-28 17:14:24.814177  * Response 41 from device ID 1 , data = 64810
2023-02-28 17:14:24.814177  * Response 42 from device ID 1 , data = 65535
2023-02-28 17:14:25.619213 Read holding register for device ID 1 , Start address = 258 Quantity = 16
2023-02-28 17:14:25.670208  * Response 1 from device ID 1 , data = 2376
2023-02-28 17:14:25.670208  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:25.670208  * Response 3 from device ID 1 , data = 4116
2023-02-28 17:14:25.670208  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:25.670208  * Response 5 from device ID 1 , data = 25
2023-02-28 17:14:25.670208  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:25.670208  * Response 7 from device ID 1 , data = 4612
2023-02-28 17:14:25.670208  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:25.670208  * Response 9 from device ID 1 , data = 64054
2023-02-28 17:14:25.670208  * Response 10 from device ID 1 , data = 65535
2023-02-28 17:14:25.670208  * Response 11 from device ID 1 , data = 17
2023-02-28 17:14:25.670208  * Response 12 from device ID 1 , data = 0
2023-02-28 17:14:25.670208  * Response 13 from device ID 1 , data = 0
2023-02-28 17:14:25.670208  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:25.670208  * Response 15 from device ID 1 , data = 499
2023-02-28 17:14:25.670208  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:25.709182 Read holding register for device ID 1 , Start address = 286 Quantity = 42
2023-02-28 17:14:25.813218  * Response 1 from device ID 1 , data = 4111
2023-02-28 17:14:25.813218  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 3 from device ID 1 , data = 2370
2023-02-28 17:14:25.813218  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 5 from device ID 1 , data = 1156
2023-02-28 17:14:25.813218  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 7 from device ID 1 , data = 2065
2023-02-28 17:14:25.813218  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 9 from device ID 1 , data = 2076
2023-02-28 17:14:25.813218  * Response 10 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 11 from device ID 1 , data = 65329
2023-02-28 17:14:25.813218  * Response 12 from device ID 1 , data = 65535
2023-02-28 17:14:25.813218  * Response 13 from device ID 1 , data = 995
2023-02-28 17:14:25.813218  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 15 from device ID 1 , data = 4122
2023-02-28 17:14:25.813218  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 17 from device ID 1 , data = 2378
2023-02-28 17:14:25.813218  * Response 18 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 19 from device ID 1 , data = 65117
2023-02-28 17:14:25.813218  * Response 20 from device ID 1 , data = 65535
2023-02-28 17:14:25.813218  * Response 21 from device ID 1 , data = 64735
2023-02-28 17:14:25.813218  * Response 22 from device ID 1 , data = 65535
2023-02-28 17:14:25.813218  * Response 23 from device ID 1 , data = 804
2023-02-28 17:14:25.813218  * Response 24 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 25 from device ID 1 , data = 65471
2023-02-28 17:14:25.813218  * Response 26 from device ID 1 , data = 65535
2023-02-28 17:14:25.813218  * Response 27 from device ID 1 , data = 64539
2023-02-28 17:14:25.813218  * Response 28 from device ID 1 , data = 65535
2023-02-28 17:14:25.813218  * Response 29 from device ID 1 , data = 4115
2023-02-28 17:14:25.813218  * Response 30 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 31 from device ID 1 , data = 2382
2023-02-28 17:14:25.813218  * Response 32 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 33 from device ID 1 , data = 64797
2023-02-28 17:14:25.813218  * Response 34 from device ID 1 , data = 65535
2023-02-28 17:14:25.813218  * Response 35 from device ID 1 , data = 64297
2023-02-28 17:14:25.813218  * Response 36 from device ID 1 , data = 65535
2023-02-28 17:14:25.813218  * Response 37 from device ID 1 , data = 1731
2023-02-28 17:14:25.813218  * Response 38 from device ID 1 , data = 0
2023-02-28 17:14:25.813218  * Response 39 from device ID 1 , data = 64327
2023-02-28 17:14:25.813218  * Response 40 from device ID 1 , data = 65535
2023-02-28 17:14:25.813218  * Response 41 from device ID 1 , data = 64820
2023-02-28 17:14:25.813218  * Response 42 from device ID 1 , data = 65535
2023-02-28 17:14:26.618703 Read holding register for device ID 1 , Start address = 258 Quantity = 16
2023-02-28 17:14:26.669852  * Response 1 from device ID 1 , data = 2375
2023-02-28 17:14:26.669852  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:26.669852  * Response 3 from device ID 1 , data = 4114
2023-02-28 17:14:26.669852  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:26.669852  * Response 5 from device ID 1 , data = 27
2023-02-28 17:14:26.669852  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:26.669852  * Response 7 from device ID 1 , data = 4611
2023-02-28 17:14:26.669852  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:26.669852  * Response 9 from device ID 1 , data = 64046
2023-02-28 17:14:26.669852  * Response 10 from device ID 1 , data = 65535
2023-02-28 17:14:26.669852  * Response 11 from device ID 1 , data = 18
2023-02-28 17:14:26.669852  * Response 12 from device ID 1 , data = 0
2023-02-28 17:14:26.669852  * Response 13 from device ID 1 , data = 0
2023-02-28 17:14:26.669852  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:26.669852  * Response 15 from device ID 1 , data = 499
2023-02-28 17:14:26.669852  * Response 16 from device ID 1 , data = 0
